server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x5,5,good,25000,0.05,0,0.0,0.020116623784706748,0.024637293309387777
x50,50,good,25000,0.05,0,0.0,0.0020779859290670044,0.025166743286055546
x50,50,good,25000,0.05,0,0.0,0.0020307524648902706,0.025195368153527166
x2,2,good,25000,0.05,15,0.03932328234939434,0.033297064307206865,0.005128112937289294
x100,100,good,25000,0.05,0,0.0,0.0010300297496191537,0.024266893101274355
x2,2,good,25000,0.05,15,0.03443637731094396,0.03299730844628028,0.004758102715627065
x5,5,good,25000,0.05,0,0.0,0.02020956349091331,0.02523122765166013
x50,50,good,25000,0.05,0,0.0,0.0020876158708723787,0.02601743630405888
x50,50,good,25000,0.05,0,0.0,0.0019028102467841524,0.02582854605057338
x1,1,good,25000,0.05,58,0.10058949447233384,0.0,0.0020158518910919953
x5,5,good,25000,0.05,0,0.0,0.019817692920078005,0.026914492874831088
x100,100,good,25000,0.05,0,0.0,0.0010352560084571695,0.025700290285889833
x25,25,good,25000,0.05,0,0.0,0.00394920702309605,0.026081693610966156
x5,5,good,25000,0.05,0,0.0,0.02067010367466655,0.027644088870190514
x10,10,good,25000,0.05,0,0.0,0.0101800784967267,0.02440258020006022
x100,100,good,25000,0.05,0,0.0,0.0009636973677525309,0.026132932002329204
x2,2,good,25000,0.05,15,0.038894495966676636,0.03528074266587142,0.004979799965043
x5,5,good,25000,0.05,0,0.0,0.019574186719733225,0.02616891165567166
x2,2,good,25000,0.05,0,0.0,0.04765075788787495,0.024124460255308976
x1,1,good,25000,0.05,58,0.10145162898772637,0.0,0.002014585520320636
x50,50,good,25000,0.05,0,0.0,0.001880452652741989,0.02428942920351526
x10,10,good,25000,0.05,0,0.0,0.009952312558030611,0.023352622299116256
x2,2,good,25000,0.05,15,0.03609907579719432,0.03242973457250457,0.00492021639533795
x10,10,good,25000,0.05,0,0.0,0.01040661605412649,0.025182641653094626
x50,50,good,25000,0.05,0,0.0,0.0020298124728399813,0.02570302827892227
x50,50,good,25000,0.05,0,0.0,0.002043778159668832,0.026244568650144386
